               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.029702,            0.016067,           0.0055189,             0.53585,             0.51509,             0.50668,             0.33776,            0.047103,            0.014251,            0.021728,            0.004951,            0.004951,            0.004951
                  53,             0.02962,            0.016097,           0.0046837,             0.53773,              0.5063,             0.51009,             0.35447,            0.046608,            0.014424,            0.022322,            0.004852,            0.004852,            0.004852
                  54,            0.029507,            0.015472,           0.0058604,             0.44202,             0.45585,             0.46081,             0.29692,            0.047514,            0.014551,            0.024758,            0.004753,            0.004753,            0.004753
                  55,             0.02963,            0.015423,            0.005912,             0.51243,             0.44614,             0.45434,             0.29712,            0.045674,            0.014599,            0.022625,            0.004654,            0.004654,            0.004654
                  56,            0.029597,            0.016317,           0.0059988,             0.51169,             0.51318,             0.48986,             0.31462,            0.047682,             0.01465,            0.021393,            0.004555,            0.004555,            0.004555
                  57,            0.028843,            0.015871,           0.0056298,              0.6374,             0.43978,             0.46645,             0.31162,            0.045814,            0.015101,            0.019447,            0.004456,            0.004456,            0.004456
                  58,            0.028758,             0.01587,            0.005076,             0.49115,             0.49102,             0.46214,             0.29856,            0.047925,              0.0157,            0.025139,            0.004357,            0.004357,            0.004357
                  59,            0.028391,            0.015464,           0.0052622,             0.52145,             0.48994,              0.4865,             0.30481,            0.046222,            0.016362,            0.022226,            0.004258,            0.004258,            0.004258
                  60,              0.0286,            0.015557,           0.0046766,             0.56154,             0.53019,             0.51111,             0.33026,            0.046555,            0.015176,            0.020489,            0.004159,            0.004159,            0.004159
                  61,            0.029054,            0.015999,           0.0056178,              0.5213,              0.4829,             0.48981,             0.31206,            0.048938,            0.014572,             0.01964,             0.00406,             0.00406,             0.00406
                  62,            0.028761,            0.015423,           0.0049355,             0.58514,              0.4455,             0.47384,             0.31887,            0.046448,            0.014948,            0.022022,            0.003961,            0.003961,            0.003961
                  63,            0.028061,            0.015056,           0.0050056,             0.44992,             0.55278,             0.48659,             0.31727,            0.047465,            0.014404,            0.019861,            0.003862,            0.003862,            0.003862
                  64,            0.027614,            0.015423,           0.0043408,             0.49752,             0.46652,             0.45921,             0.30322,            0.046068,            0.015518,            0.026886,            0.003763,            0.003763,            0.003763
                  65,            0.026997,            0.015338,           0.0041246,             0.57498,              0.5096,             0.52927,             0.33215,            0.047405,             0.01498,            0.023511,            0.003664,            0.003664,            0.003664
                  66,            0.026788,            0.014944,           0.0044473,             0.58395,             0.44043,             0.49591,             0.33092,            0.047208,            0.015454,            0.019015,            0.003565,            0.003565,            0.003565
                  67,            0.026837,            0.014516,             0.00389,             0.62626,             0.47614,             0.51581,             0.34371,            0.046397,            0.014576,            0.020056,            0.003466,            0.003466,            0.003466
